Date ,Problems Found (if any) ,Advice/ solution given
20-11-2023,White Fly in Pumpkin Mobile Adaptation Clinic ,"For control of whitefly in Pumpkin Mobile Adaptation Clinics, organic insecticides such as neem leaf extract, mahogany tree fruit extract, tobacco leaf extract and detergent powder mixed with water should be sprayed well on the entire plant at regular intervals."
21-11-2023,Fall Army Worm of Maize,Nitro 505 EC insecticide 1 ml per liter of water should be mixed proportionally and sprayed on the plants well in the late afternoon.
23-11-2023,Insects in vegetables Mobile Adaptation Clinics,"For control of insects in vegetables Mobile Adaptation Clinics, organic insecticides such as detergent powder, neem leaf extract, mahogany tree fruit extract, tobacco leaf extract mixed with water should be sprayed well on the entire plant at regular intervals."
28-11-2023,Downy Mildew of Cucumber,"Remove and destroy the affected leaves, then spray every 7-10 days with 2 grams Ridomil Gold per liter of water."
28-11-2023,Leaf Curling of Chilli and Cucumber ,"For control of vector insects in pepper and cucumber plant, organic insecticides such as neem leaf extract, detergent powder, mahogany tree seed extract, tobacco leaf extract mixed with water should be sprayed well on the entire plant at regular intervals."
28-11-2023,Anthracnose of Khirai,"Remove and destroy the affected leaves, then spray with 0.5 ml Tilt 250 EC per liter of water."
28-11-2023,Anthracnose of Khirai,"Remove and destroy the affected leaves, then spray with 0.5 ml Tilt 250 EC per liter of water."
07-12-2023,Brinjal Shoot and Fruit Borer,Emamectin Benzoate group insecticide Proclaim should be sprayed well on all the plants in the late afternoon mixed at the rate of 1 gram per liter of water.
07-12-2023,Wilting of Brinjal,Prepare a Bordeaux mixture and spray it on the soil around the base of the plant.
07-12-2023,-,Regular weeding from the land to eliminate competition for nutrients with crops and reduce the risk of pests and diseases. Irrigation in the early morning or late afternoon to reduce water loss through evaporation and risk of fungal diseases. Staking tomato plants at the base of the plant support upright growth and fruit bearing.
07-12-2023,-,Regular weeding from the land to eliminate competition for nutrients with crops and reduce the risk of pests and diseases. Irrigation in the early morning or late afternoon to reduce water loss through evaporation and risk of fungal diseases. Staking tomato plants at the base of the plant support upright growth and fruit bearing.
10-12-2023,Brinjal Shoot and Fruit Borer,"Mix 0.5 ml of Voliam Flexi 300 SC in every liter of water, thoroughly wet the plants by spraying, and repeat the spray within 7 days."
10-12-2023,Leaf Curl of Chili,"Infected plants should be removed and destroyed, then 2 ml of Vertimec insecticide per liter of water should be sprayed thoroughly over the entire plant, top and bottom of the leaves."
17-12-2023,Brinjal Shoot and Fruit Borer,"Mix 0.5 ml of Voliam Flexi 300 SC in every liter of water, thoroughly wet the plants by spraying, and repeat the spray within 7 days."
20-12-2023,Fall Army Worm of Maize,Proclaim (1gm/L) or Tracer from the Spinosad group (0.4 ml/L) or Nitro (1ml/L) insecticides should be sprayed in the afternoon.
20-12-2023,Leaf Curl of Chili,"Infected plants should be removed and destroyed, then 2 ml of Vertimec insecticide per liter of water should be sprayed thoroughly over the entire plant, top and bottom of the leaves."
02-01-2024,-,Provide guidance on sowing sunflower seeds properly.
04-01-2024,-,Provide guidance on sowing sunflower seeds properly.
04-01-2024,-,Provide guidance on sowing sunflower seeds properly.
04-01-2024,-,Provide guidance on sowing sunflower seeds properly.
04-01-2024,-,Provide guidance on sowing sunflower seeds properly.
04-01-2024,-,Provide guidance on sowing sunflower seeds properly.
04-01-2024,-,Provide guidance on sowing sunflower seeds properly.
04-01-2024,-,Provide guidance on sowing sunflower seeds properly.
08-01-2024,-,Provide guidance on sowing sunflower seeds properly.
08-01-2024,-,Provide guidance on sowing sunflower seeds properly.
08-01-2024,-,Provide guidance on sowing sunflower seeds properly.
08-01-2024,-,Provide guidance on sowing sunflower seeds properly.
08-01-2024,-,Provide guidance on sowing sunflower seeds properly.
08-01-2024,-,Provide guidance on sowing sunflower seeds properly.
09-01-2024,-,Provide guidance on sowing sunflower seeds properly.
09-01-2024,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings."
09-01-2024,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings."
09-01-2024,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings."
09-01-2024,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings."
09-01-2024,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings."
09-01-2024,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings."
09-01-2024,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings."
10-01-2024,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings."
10-01-2024,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings."
10-01-2024,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings."
10-01-2024,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings."
11-01-2024,Gummy Stem Blight of Bottle Gourd,Mancozeb + Metalaxyl group fungicide Ridomilgold MZ 68 WG mixed with water at the rate of 5.0 gm per liter and sprayed.
11-01-2024,Leaf Curl Disease of Tomato,"1. Affected plants should be removed and destroyed.
  2. Imidachlorpid group insecticide Admire 20 SL or Imitaf 20 SL should be mixed at the rate of 1 ml per liter of water and sprayed in the late afternoon."
11-01-2024,Leaf Curl Disease of Chili,"1. Affected plants should be removed and destroyed.
  2. Imidachlorpid group insecticide Admire 20 SL or Imitaf 20 SL should be mixed at the rate of 1 ml per liter of water and sprayed in the late afternoon."
11-01-2024,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings."
15-01-24,-,Provide necessary advice to take care of Boro rice seedlings.
16-01-24,Mosaic Virus of Pumkin,"1. Affected plants should be removed and destroyed.
  2. Imidachlorpid group insecticide Admire 20 SL or Imitaf 20 SL should be mixed at the rate of 1 ml per liter of water and sprayed in the late afternoon."
16-01-24,Mosaic Virus of Bitter Gourd,"1. Affected plants should be removed and destroyed.
  2. Imidachlorpid group insecticide Admire 20 SL or Imitaf 20 SL should be mixed at the rate of 1 ml per liter of water and sprayed in the late afternoon."
16-01-24,Mosaic Virus of Yard Long Bean,"1. Affected plants should be removed and destroyed.
  2. Imidachlorpid group insecticide Admire 20 SL or Imitaf 20 SL should be mixed at the rate of 1 ml per liter of water and sprayed in the late afternoon."
16-01-24,Leaf Curl Disease of Chili and Tomato,"1. Affected plants should be removed and destroyed.
  2. Imidachlorpid group insecticide Admire 20 SL or Imitaf 20 SL should be mixed at the rate of 1 ml per liter of water and sprayed in the late afternoon."
21-01-24,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings."
21-01-24,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings."
22-01-24,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings."
22-01-24,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings."
22-01-24,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings."
22-01-24,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings."
24-01-24,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings."
24-01-24,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings."
24-01-24,-,"After sowing Maize seeds, provide guidance on subsequent steps and care for the seedlings."
24-01-24,-,Provide guidance on sowing sunflower seeds properly.
25-01-24,Leaf Curl Disease of Chili,"1. Affected plants should be removed and destroyed.
  2. Imidachlorpid group insecticide Admire 20 SL or Imitaf 20 SL should be mixed at the rate of 1 ml per liter of water and sprayed in the late afternoon."
25-01-24,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings."
25-01-24,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings."
25-01-24,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings."
25-01-24,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings."
25-01-24,-,"After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings."
25-01-24,Damping off Sunflower,Carbendazim Group Fungicide Autostin 50 WG or Nowin 50 WP should be mixed at the rate of 2 gm / liter in water and spray on the soil of the plant base.
31-01-24,Fall Army Worm of Maize,Chlorpyrifos + Cypermethrin group insecticide Nitro 505 EC should be mixed at the rate of 2 ml per liter of water and sprayed in the late afternoon.
01-02-2024,-,Site selection for Vermicompost plant
4/2/2024,Japanese Beetle of Maize,Imidachlorpid group insecticide should be mixed at the rate of 1 ml per liter of water and spray in the late afternoon.
4/2/2024,-,Site selection for Vermicompost plant
4/2/2024,Yellow Mosaic of Pumkin,Imidachlorpid group insecticide should be mixed at the rate of 1 ml per liter of water and spray in the late afternoon.
4/2/2024,-,The first top dress of urea fertilizer and irrigation should be applied.
4/2/2024,-,The first top dress of urea fertilizer and irrigation should be applied.
4/2/2024,-,The first top dress of urea fertilizer and irrigation should be applied.
4/2/2024,Late Blight of Tomato,Mancozeb + Metalaxyl group fungicide should be mixed at the rate of 2 gm per liter water and spray.
5/2/2024,-,Soil test of Boro Rice field
5/2/2024,Leaf Curl of Chili,Imidachlorpid group insecticide should be mixed at the rate of 1 ml per liter of water and spray in the late afternoon.
5/2/2024,Fall Army Worm of Maize,Carbaryl group insecticide should be mixed at the rate of 3 gm per liter of water and spray in the late afternoon.
5/2/2024,Late Blight of Tomato,Mancozeb + Metalaxyl group fungicide should be mixed at the rate of 2 gm per liter of water and spray.
5/2/2024,-,Gap filling and extra seedlings should be uprooted.
6/2/2024,-,The first top dress of urea fertilizer and irrigation should be applied.
6/2/2024,-,The first top dress of urea fertilizer and irrigation should be applied.
6/2/2024,Fall Army Worm of Maize,Carbaryl group insecticide should be mixed at the rate of 3 gm per liter of water and spray in the late afternoon.
6/2/2024,-,The first top dress of urea fertilizer and irrigation should be applied.
6/2/2024,-,The first top dress of urea fertilizer and irrigation should be applied.
6/2/2024,Fall Army Worm of Maize,Carbaryl group insecticide should be mixed at the rate of 3 gm per liter of water and spray in the late afternoon.
6/2/2024,Late Blight of Tomato,Mancozeb + Metalaxyl group fungicide should be mixed at the rate of 2 gm per liter of water and spray.
6/2/2024,-,The first top dress of urea fertilizer and irrigation should be applied.
6/2/2024,-,The first top dress of urea fertilizer and irrigation should be applied.
6/2/2024,-,The first top dress of urea fertilizer and irrigation should be applied.
11/2/2024,-,The first top dress of urea fertilizer and irrigation should be applied.
11/2/2024,-,The first top dress of urea fertilizer and irrigation should be applied.
11/2/2024,-,The first top dress of urea fertilizer and irrigation should be applied.
12/2/2024,-,The first top dress of urea fertilizer and irrigation should be applied.
12/2/2024,-,The first top dress of urea fertilizer and irrigation should be applied.
12/2/2024,-,The first top dress of urea fertilizer and irrigation should be applied.
12/2/2024,Fall Army Worm of Maize,Lambda Cyhalothrin group insecticide should be mixed at the rate of 15 ml per 10 liters of water and spray in the late afternoon.
13/2/24,Fall Army Worm of Maize,Lambda Cyhalothrin group insecticide should be mixed at the rate of 15 ml per 10 liters of water and spray in the late afternoon.
14/2/24,-,The first top dress of urea fertilizer and irrigation should be applied.
14/2/24,Damping off Sunflower,Carbendazim group fungicide should be mixed at the rate of 20 grams per 10 liters of water and sprayed in the afternoon.
14/2/24,Cutworm of Sunflower,Chlorpyrifos + Cypermethrin group insecticide should be mixed at the rate of 2 ml per litre of water and spray in the late afternoon.
15/2/24,-,The first top dress of urea fertilizer and irrigation should be applied.
15/2/24,-,The first top dress of urea fertilizer and irrigation should be applied.
15/2/24,-,The first top dress of urea fertilizer and irrigation should be applied.
15/2/24,-,The first top dress of urea fertilizer and irrigation should be applied.
15/2/24,Fall Army Worm of Maize,Lambda Cyhalothrin group insecticide should be mixed at the rate of 15 ml per 10 liters of water and spray in the late afternoon.
18/2/24,Cutworm of Sunflower,Chlorpyrifos + Cypermethrin group insecticide should be mixed at the rate of 2 ml per litre of water and spray in the late afternoon.
18/2/24,Cutworm of Sunflower,Chlorpyrifos + Cypermethrin group insecticide should be mixed at the rate of 2 ml per litre of water and spray in the late afternoon.
19/2/24,-,The first top dress of urea fertilizer and irrigation should be applied.
19/2/24,-,The first top dress of urea fertilizer and irrigation should be applied.
19/2/24,-,Kharif-1 vegetable cultivation plan
19/2/24,-,The first top dress of urea fertilizer and irrigation should be applied.
19/2/24,Cutworm of Sunflower,Emamectin Benzoate group insecticide should be mixed at the rate of 10 gm per 10 liters of water and spray.
20/2/24,-,Advice on cucumber plant care.
20/2/24,-,Advice on cucumber plant care.
20/2/24,-,Advice on Pumkin plant care.
25/2/24,Fall Army Worm of Maize,Lufenuron (40%) + Emamectin benzoate (10%) group of insecticides should be mixed at the rate of 5 gm per 10 liters of water and sprayed in the late afternoon.
27/2/24,Downy Mildew of Cucumber,Pyraclostrobin 5% + Metiram 55% group fungicide should be mixed at the rate of 30 grams per 10 liters of water and sprayed well.
29-02-24,-,The first top dress of urea fertilizer and irrigation should be applied.
29-02-24,-,The first top dress of urea fertilizer and irrigation should be applied.
29-02-24,-,The first top dress of urea fertilizer and irrigation should be applied.
29-02-24,Fall Army Worm of Maize,Lufenuron (40%) + Emamectin benzoate (10%) group of insecticides mixed at the rate of 5 gm per 10 liters of water and sprayed in the late afternoon.
04-03-2024,Leaf Rust of Yard Long Bean,Propiconazole group fungicides mixed at 0.5 ml per liter of water spray in the late afternoon.
04-03-2024,Cucumber whitefly insect,Imidachlorpid group insecticide should be mixed at the rate of 1 ml per liter of water and spray in the late afternoon.
04-03-2024,Leaf Miner of Snake Gourd,Cypermethrin group insecticide should be mixed at the rate of 1 ml per liter of water and sprayed in the late afternoon.
04-03-2024,Sunflower Stem Rot,"Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
04-03-2024,-,The 2nd top dress of urea fertilizer and irrigation should be applied.
04-03-2024,Sunflower Stem Rot,"Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
05-03-2024,Sunflower Stem Rot,"Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
05-03-2024,Sunflower Stem Rot,"Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
10-03-2024,Sunflower Stem Rot,"Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
10-03-2024,Sunflower Stem Rot,"Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
10-03-2024,Sunflower Stem Rot,"Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
14-03-2024,Fall Army Worm of Maize,Lufenuron (40%) + Emamectin benzoate (10%) group of insecticides should be mixed at the rate of 5 gm per 10 liters of water and sprayed in the late afternoon.
14-03-2024,Fall Army Worm of Maize,Lufenuron (40%) + Emamectin benzoate (10%) group of insecticides should be mixed at the rate of 5 gm per 10 liters of water and sprayed in the late afternoon.
25-03-2024,Fall Army Worm of Maize,Lufenuron (40%) + Emamectin benzoate (10%) group of insecticides should be mixed at the rate of 5 gm per 10 liters of water and sprayed in the late afternoon.
25-03-2024,Fall Army Worm of Maize,Lufenuron (40%) + Emamectin benzoate (10%) group of insecticides should be mixed at the rate of 5 gm per 10 liters of water and sprayed in the late afternoon.
25-03-2024,Fall Army Worm of Maize,Lufenuron (40%) + Emamectin benzoate (10%) group of insecticides should be mixed at the rate of 5 gm per 10 liters of water and sprayed in the late afternoon.
27-03-2024,Fall Army Worm of Maize,Lufenuron (40%) + Emamectin benzoate (10%) group of insecticides should be mixed at the rate of 5 gm per 10 liters of water and sprayed in the late afternoon.
27-03-2024,Fall Army Worm of Maize,Lufenuron (40%) + Emamectin benzoate (10%) group of insecticides should be mixed at the rate of 5 gm per 10 liters of water and sprayed in the late afternoon.
27-03-2024,Fall Army Worm of Maize,Lufenuron (40%) + Emamectin benzoate (10%) group of insecticides should be mixed at the rate of 5 gm per 10 liters of water and sprayed in the late afternoon.
27-03-2024,Fall Army Worm of Maize,Lufenuron (40%) + Emamectin benzoate (10%) group of insecticides should be mixed at the rate of 5 gm per 10 liters of water and sprayed in the late afternoon.
27-03-2024,Fall Army Worm of Maize,Lufenuron (40%) + Emamectin benzoate (10%) group of insecticides should be mixed at the rate of 5 gm per 10 liters of water and sprayed in the late afternoon.
31-03-2024,Cutworm of Sunflower,Chlorpyrifos + Cypermethrin group insecticide should be mixed at the rate of 2 ml per litre of water and spray in the late afternoon.
31-03-2024,Cutworm of Sunflower,Chlorpyrifos + Cypermethrin group insecticide should be mixed at the rate of 2 ml per litre of water and spray in the late afternoon.
31-03-2024,Cutworm of Sunflower,Chlorpyrifos + Cypermethrin group insecticide should be mixed at the rate of 2 ml per litre of water and spray in the late afternoon.
04-04-2024,Fall Army Worm of Maize,Lufenuron (40%) + Emamectin benzoate (10%) group of insecticides should be mixed at the rate of 5 gm per 10 liters of water and sprayed in the late afternoon.
04-04-2024,Fall Army Worm of Maize,Lufenuron (40%) + Emamectin benzoate (10%) group of insecticides should be mixed at the rate of 5 gm per 10 liters of water and sprayed in the late afternoon.
16-04-2024,Leaf Blight of Rice,Spray Tricycozol and cupperoxicloride fungicide at 2ml/ l in the afternoon
22/04/2024,Proper way of Harvesting Mungbean,Picking mung bean pods which are yellow green and are about to be ripen; stripping to obtain mung bean grains; washing the mung beans and leaching the water; putting the mung beans under sunlight to be aired.
22/04/2024,Proper way of Harvesting Mungbean,Picking mung bean pods which are yellow green and are about to be ripen; stripping to obtain mung bean grains; washing the mung beans and leaching the water; putting the mung beans under sunlight to be aired.
22/04/2024,Proper way of Harvesting Mungbean,Picking mung bean pods which are yellow green and are about to be ripen; stripping to obtain mung bean grains; washing the mung beans and leaching the water; putting the mung beans under sunlight to be aired.
22/04/2024,Proper way of Harvesting Mungbean,Picking mung bean pods which are yellow green and are about to be ripen; stripping to obtain mung bean grains; washing the mung beans and leaching the water; putting the mung beans under sunlight to be aired.
22/04/2024,Proper way of Harvesting Mungbean,Picking mung bean pods which are yellow green and are about to be ripen; stripping to obtain mung bean grains; washing the mung beans and leaching the water; putting the mung beans under sunlight to be aired.
22/04/2024,Proper way of Harvesting Mungbean,Picking mung bean pods which are yellow green and are about to be ripen; stripping to obtain mung bean grains; washing the mung beans and leaching the water; putting the mung beans under sunlight to be aired.
22/04/2024,Proper way of Harvesting Mungbean,Picking mung bean pods which are yellow green and are about to be ripen; stripping to obtain mung bean grains; washing the mung beans and leaching the water; putting the mung beans under sunlight to be aired.
22/04/2024,Proper way of Harvesting Mungbean,Picking mung bean pods which are yellow green and are about to be ripen; stripping to obtain mung bean grains; washing the mung beans and leaching the water; putting the mung beans under sunlight to be aired.
22/04/2024,Proper way of Harvesting Mungbean,Picking mung bean pods which are yellow green and are about to be ripen; stripping to obtain mung bean grains; washing the mung beans and leaching the water; putting the mung beans under sunlight to be aired.
22/04/2024,Proper way of Harvesting Mungbean,Picking mung bean pods which are yellow green and are about to be ripen; stripping to obtain mung bean grains; washing the mung beans and leaching the water; putting the mung beans under sunlight to be aired.
22/04/2024,Proper way of Harvesting Mungbean,Picking mung bean pods which are yellow green and are about to be ripen; stripping to obtain mung bean grains; washing the mung beans and leaching the water; putting the mung beans under sunlight to be aired.
22/04/2024,Proper way of Harvesting Mungbean,Picking mung bean pods which are yellow green and are about to be ripen; stripping to obtain mung bean grains; washing the mung beans and leaching the water; putting the mung beans under sunlight to be aired.
24/04/2024,When to harvest Sunflower,"Sunflowers have died back completely and the backs of the blooms are brown, And the petals are starting to fall off and it's time to harvest. Cut the stalk with sharp scissors or pruners, about one foot down from the flower head, and dry it properly."
24/04/2024,When to harvest Sunflower,"Sunflowers have died back completely and the backs of the blooms are brown, And the petals are starting to fall off and it's time to harvest. Cut the stalk with sharp scissors or pruners, about one foot down from the flower head, and dry it properly."
24/04/2024,When to harvest Sunflower,"Sunflowers have died back completely and the backs of the blooms are brown, And the petals are starting to fall off and it's time to harvest. Cut the stalk with sharp scissors or pruners, about one foot down from the flower head, and dry it properly."
24/04/2024,When to harvest Sunflower,"Sunflowers have died back completely and the backs of the blooms are brown, And the petals are starting to fall off and it's time to harvest. Cut the stalk with sharp scissors or pruners, about one foot down from the flower head, and dry it properly."
24/04/2024,When to harvest Sunflower,"Sunflowers have died back completely and the backs of the blooms are brown, And the petals are starting to fall off and it's time to harvest. Cut the stalk with sharp scissors or pruners, about one foot down from the flower head, and dry it properly."
25/04/2024,Bed Prepartion for Vegetable,"For peat remove all rocks, old roots, and plant debris. Dig down a little further with the shovel (a few more inches) to just loosen up the soil. Mix the soil with organic matter such as compost."
25/04/2024,Bed Prepartion for Vegetable,"For peat remove all rocks, old roots, and plant debris. Dig down a little further with the shovel (a few more inches) to just loosen up the soil. Mix the soil with organic matter such as compost."
25/04/2024,Bed Prepartion for Vegetable,"For peat remove all rocks, old roots, and plant debris. Dig down a little further with the shovel (a few more inches) to just loosen up the soil. Mix the soil with organic matter such as compost."
25/04/2024,Bed Prepartion for Vegetable,"For peat remove all rocks, old roots, and plant debris. Dig down a little further with the shovel (a few more inches) to just loosen up the soil. Mix the soil with organic matter such as compost."
25/04/2024,Bed Prepartion for Vegetable,"For peat remove all rocks, old roots, and plant debris. Dig down a little further with the shovel (a few more inches) to just loosen up the soil. Mix the soil with organic matter such as compost."
25/04/2024,Bed Prepartion for Vegetable,"For peat remove all rocks, old roots, and plant debris. Dig down a little further with the shovel (a few more inches) to just loosen up the soil. Mix the soil with organic matter such as compost."
25/04/2024,Bed Prepartion for Vegetable,"For peat remove all rocks, old roots, and plant debris. Dig down a little further with the shovel (a few more inches) to just loosen up the soil. Mix the soil with organic matter such as compost."
25/04/2024,Stem Rot of Nut,Spray Carbendazim and Mancozeb Fungicide 2gm/l with water at Late Morning.
28/04/2024,Cladosporium leaf spot of spinac,"Spray Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
28/04/2024,Cladosporium leaf spot of spinac,"Spray Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
28/04/2024,Cladosporium leaf spot of spinac,"Spray Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
28/04/2024,Cladosporium leaf spot of spinac,"Spray Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
28/04/2024,Cladosporium leaf spot of spinac,"Spray Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
